int64_field_0,player_name,teamId,gamesPlayed,points,goals,twoPointGoals,assists,powerPlayGoals,shortHandedGoals,pim,shots,twoPointShots,shotsOnGoal,twoPointShotsOnGoal,SOFF,groundBalls,faceoffs,faceoffsWon,faceoffsLost,turnovers,causedTurnovers,goalsAgainst,GAA,twoPointGoalsAgainst,twoPtGaa,saves,numPenalties,savePct,goalieWins,goalieLosses,goalieTies,gamesStarted,tof,statLeague,seasonSegment
162,Joseph Nardella,WHP,6,6,3,0,3,0,0,0,8,0,5,0,3,65,138,100,38,5,1,0,0,0,0,0,0,0,0,0,0,6,0,PLL,regular
10,Austin Sims,ARC,1,0,0,0,0,0,0,0,3,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PLL,post
57,Davey Emala,ARC,1,1,1,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,post
79,Ian MacKay,ARC,1,0,0,0,0,0,0,0,3,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PLL,post
160,Mike Simon,ARC,3,3,2,1,0,0,0,0,3,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,PLL,post
146,John Crawley,ATL,5,5,3,0,2,0,0,0,11,2,7,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,PLL,regular
103,John Crawley,ATL,2,4,2,0,2,0,0,0,6,0,2,0,4,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,PLL,post
192,Shayne Jackson,BLZ,1,1,0,0,1,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
207,Tommy Palasek,BLZ,1,2,2,0,0,0,0,0,3,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
37,Charlie Durbin,CAN,1,1,0,0,1,0,0,0,3,0,2,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
125,Kyle Denhoff,CAN,1,1,1,0,0,0,0,0,3,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
147,Jake Froccaro,CHA,10,27,14,3,10,2,0,0,56,8,35,7,21,17,5,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
108,John Ranagan,CHR,2,0,0,0,0,0,0,0,4,1,2,0,2,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,PLL,post
183,John Ranagan,CHR,10,17,12,2,3,0,2,1,32,3,21,3,11,3,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
133,J.D. Recor,NYL,2,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
115,Joseph Nardella,WHP,2,1,1,0,0,0,0,0,5,0,3,0,2,14,44,24,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,post
193,Joseph Nardella,WHP,10,12,6,0,6,0,0,0,15,0,9,0,6,72,234,128,106,8,4,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
117,Jules Heningburg,RED,3,6,4,0,2,1,0,0,13,0,8,0,5,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,PLL,post
187,Scott Ratliff,ARC,3,7,3,1,3,0,1,0,4,1,4,1,0,8,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,PLL,post
